video_id,original_vidharm_label,dataset_split,violence_score,brightness_std,scream_score,silence_score,noise_score,music_score,hum_score,speech_score,tension_score,has_audio_track,horror_label_threshold_based,horror_level_threshold_based
0cf28cc4001a,"['bt', 'bt']",train,0.020833333333333332,26.87541992082611,2.4395768605245394e-07,0.0,0.0,8.850329322740436e-06,0.00014092764467932284,0.43957266211509705,0.15284471271043418,True,Psychological Tension,1
61903e01195e,"['bt', 'bt']",train,0.2708333333333333,18.47078624104651,5.184336941965739e-07,0.0,0.0,3.850188477372285e-06,2.229708115919493e-05,0.48147743940353394,0.14141578233751387,True,Calm Neutral,0
c3a2daf25293,"['bt', 'bt']",train,0.10416666666666667,19.809817821962657,2.974967969748832e-07,0.0,0.0,1.0765059244022268e-07,3.124506838503294e-05,0.6065484285354614,0.1073050920028542,True,Calm Neutral,0
9e6fc6b0cf7c,"['bt', 'bt']",train,0.0,13.889669002091491,9.878547643893398e-06,0.0,0.0,5.208744369156193e-06,1.2622299436770845e-05,0.8718196749687195,0.03496233618443512,True,Calm Neutral,0
d8e8486fd512,"['bt', 'bt']",train,0.3958333333333333,33.18905944223069,3.3312139748886693e-06,0.0,0.0,7.97754546510987e-05,0.00017704491619952023,0.6219674944877625,0.10310823789520576,True,Disturbing Visuals,3
72eba67386de,"['bt', 'bt']",train,0.0625,20.527801369722948,4.75368960906053e-06,0.0,0.0,8.465341352348332e-07,0.00016502814833074808,0.7027789354324341,0.08106209590866086,True,Calm Neutral,0
69365f24a46f,"['bt', 'bt']",train,0.020833333333333332,19.102598636260662,9.246346053259913e-06,0.0,0.0,9.769797543413006e-06,0.00014666291826870292,0.5670469999313354,0.11808234139888638,True,Calm Neutral,0
fdb80b86614d,"['bt', 'bt']",train,0.0625,32.25144576518471,1.061975763150258e-05,0.0,0.0,1.260102862943313e-06,5.7488934544380754e-05,0.6138255000114441,0.10532429446355061,True,Calm Neutral,0
8c80e9a342c1,"['bt', 'bt']",train,0.08333333333333333,28.41444003698986,3.44784784829244e-05,0.0,0.0,1.0704441592679359e-05,7.074328459566459e-05,0.6307549476623535,0.10071670685167854,True,Calm Neutral,0
800283156f57,"['bt', 'bt']",train,0.25,17.31102674432847,3.72787362721283e-05,0.0,0.0,1.9791206796071492e-05,0.00015831463679205626,0.47979050874710083,0.14189067090096205,True,Calm Neutral,0
dd2e6c1e8ebf,"['bt', 'bt']",train,0.020833333333333332,14.190334221126715,1.1446013559179846e-05,0.0,0.0,9.679330105427653e-05,0.0005569006316363811,0.5005333423614502,0.13623114093372188,True,Calm Neutral,0
5e00ca260643,"['bt', 'bt']",train,0.75,44.83632891261578,1.383465342286172e-08,0.0,0.0,3.4899517231679056e-07,4.111387625016505e-06,0.03478098660707474,0.26324158586477836,True,Disturbing Visuals,3
873a75145b6d,"['bt', 'bt']",train,0.10416666666666667,36.82505343355045,5.1700053127490264e-09,0.0,0.0,6.896784725540783e-07,8.753770089242607e-05,0.4725332260131836,0.1438546393017221,True,Calm Neutral,0
fe4aa8622b7b,"['bt', 'bt']",train,0.3541666666666667,49.810321173398485,4.691278263635468e-06,0.0,0.0,1.500480266258819e-06,2.136514740413986e-05,0.26789432764053345,0.19966702569742914,True,Disturbing Visuals,3
5fe2991cc0f8,"['bt', 'bt']",train,0.0,41.5547226868413,6.134642793753642e-10,0.0,0.0,1.3315196056851164e-08,1.4109767107584048e-05,0.5211872458457947,0.13058529802106086,True,Jump scare,2
f535bbb4132d,"['bt', 'bt']",train,0.0,37.8495552857833,4.662677355327105e-09,0.0,0.0,6.629436910543518e-08,4.4541269744513556e-05,0.6522574424743652,0.094838887047453,True,Calm Neutral,0
ebafcc082484,"['bt', 'bt']",train,0.08333333333333333,23.543968077886102,1.1240304047532845e-06,0.0,0.0,1.8766085929655674e-07,7.731483492534608e-05,0.2637353539466858,0.20079987472203828,True,Psychological Tension,1
f440b7ab5122,"['bt', 'bt']",train,0.75,63.25310779437759,1.799599704099819e-05,0.0,0.0,3.391756990822614e-07,0.0007141513051465154,0.2398194819688797,0.2073285342961113,True,Disturbing Visuals,3
0e3524f3e76d,"['bt', 'bt']",train,0.25,16.43088718182299,2.495477929187473e-05,0.0,0.0,1.6943382661338546e-06,0.000880186096765101,0.1116810292005539,0.2422780387139793,True,Psychological Tension,1
5dd4e2941c27,"['bt', 'bt']",train,0.22916666666666666,57.98567622721534,0.0009051544475369155,0.0,0.0,2.6050181531900307e-06,0.0003416448016650975,0.030227940529584885,0.26481267283814064,True,Jump scare,2
0c837d0b93cb,"['7', '7']",train,0.4166666666666667,48.14331264512418,0.0005257379962131381,0.0,0.0,1.0845336873899214e-05,0.0002488227910362184,0.20645363628864288,0.2166138989505271,True,Disturbing Visuals,3
7ce7a5702a09,"['bt', 'bt']",train,0.125,32.57913737085557,0.0004433048015926033,0.0,0.0,5.289111413731007e-06,0.0003008983621839434,0.1454710066318512,0.23321504440202098,True,Psychological Tension,1
e0997a1b5577,"['bt', 'bt']",train,0.7083333333333334,46.289445701032925,2.1940908823125937e-07,0.0,0.0,1.7044591293924327e-09,0.00018008248298428953,0.0006548634264618158,0.27254875355103886,True,Disturbing Visuals,3
a25bb83344cd,"['bt', 'bt']",train,0.8333333333333334,9.831325784501848,9.223770575772505e-06,0.0,0.0,4.593819085130235e-07,8.7996173533611e-05,0.0008030024473555386,0.27251166792019504,True,Disturbing Visuals,3
